key,id,name,type,variable,value,year,crime_type,place_name
1600000US3651000--2010--All Crimes--count,1600000US3651000,"New York, New York",place,count,376208,2010,All Crimes,"New York, NY"
1600000US3651000--2012--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,98.80069945,2012,Motor vehicle theft,"New York, NY"
1600000US3651000--2010--Burglary--count,1600000US3651000,"New York, New York",place,count,17926,2010,Burglary,"New York, NY"
1600000US3651000--2007--Robbery--rate,1600000US3651000,"New York, New York",place,rate,265.0423421,2007,Robbery,"New York, NY"
1600000US3651000--2013--Property crime--count,1600000US3651000,"New York, New York",place,count,141971,2013,Property crime,"New York, NY"
1600000US3651000--2014--All Crimes--count,1600000US3651000,"New York, New York",place,count,372622,2014,All Crimes,"New York, NY"
1600000US3651000--2012--All Crimes--count,1600000US3651000,"New York, New York",place,count,391506,2012,All Crimes,"New York, NY"
1600000US3651000--2007--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,613.7688201,2007,Violent crime,"New York, NY"
1600000US3651000--2009--Burglary--count,1600000US3651000,"New York, New York",place,count,18780,2009,Burglary,"New York, NY"
1600000US3651000--2014--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,596.7001411,2014,Violent crime,"New York, NY"
1600000US3651000--2006--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,26908,2006,Aggravated assault,"New York, NY"
1600000US3651000--2010--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,327.6030884,2010,Aggravated assault,"New York, NY"
1600000US3651000--2010--Burglary--rate,1600000US3651000,"New York, New York",place,rate,215.0431346,2010,Burglary,"New York, NY"
1600000US3651000--2012--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1722.196319,2012,Property crime,"New York, NY"
1600000US3651000--2007--Burglary--count,1600000US3651000,"New York, New York",place,count,20914,2007,Burglary,"New York, NY"
1600000US3651000--2010--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,581.6817222,2010,Violent crime,"New York, NY"
1600000US3651000--2013--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,31767,2013,Aggravated assault,"New York, NY"
1600000US3651000--2009--Larceny--count,1600000US3651000,"New York, New York",place,count,112526,2009,Larceny,"New York, NY"
1600000US3651000--2006--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,329.5529296,2006,Aggravated assault,"New York, NY"
1600000US3651000--2008--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,24831,2008,Aggravated assault,"New York, NY"
1600000US3651000--2013--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1404.588259,2013,Larceny,"New York, NY"
1600000US3651000--2010--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1336.012155,2010,Larceny,"New York, NY"
1600000US3651000--2007--Larceny--count,1600000US3651000,"New York, New York",place,count,115318,2007,Larceny,"New York, NY"
1600000US3651000--2006--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,5034.218612,2006,All Crimes,"New York, NY"
1600000US3651000--2007--Forcible rape--rate,1600000US3651000,"New York, New York",place,rate,10.64451505,2007,Forcible rape,"New York, NY"
1600000US3651000--2007--Forcible rape--count,1600000US3651000,"New York, New York",place,count,875,2007,Forcible rape,"New York, NY"
1600000US3651000--2006--Larceny--count,1600000US3651000,"New York, New York",place,count,115363,2006,Larceny,"New York, NY"
1600000US3651000--2009--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4484.206289,2009,All Crimes,"New York, NY"
1600000US3651000--2011--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1710.413273,2011,Property crime,"New York, NY"
1600000US3651000--2006--Burglary--rate,1600000US3651000,"New York, New York",place,rate,271.1206037,2006,Burglary,"New York, NY"
1600000US3651000--2012--Forcible rape--count,1600000US3651000,"New York, New York",place,count,1162,2012,Forcible rape,"New York, NY"
1600000US3651000--2008--Forcible rape--count,1600000US3651000,"New York, New York",place,count,890,2008,Forcible rape,"New York, NY"
1600000US3651000--2013--Robbery--rate,1600000US3651000,"New York, New York",place,rate,228.3195845,2013,Robbery,"New York, NY"
1600000US3651000--2009--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,314.9302807,2009,Aggravated assault,"New York, NY"
1600000US3651000--2009--Property crime--count,1600000US3651000,"New York, New York",place,count,142000,2009,Property crime,"New York, NY"
1600000US3651000--2009--Violent crime--count,1600000US3651000,"New York, New York",place,count,46357,2009,Violent crime,"New York, NY"
1600000US3651000--2010--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1674.843648,2010,Property crime,"New York, NY"
1600000US3651000--2007--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,27295,2007,Aggravated assault,"New York, NY"
1600000US3651000--2009--Murder and nonnegligent manslaughter--count,1600000US3651000,"New York, New York",place,count,471,2009,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2008--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,149.0699604,2008,Motor vehicle theft,"New York, NY"
1600000US3651000--2011--Forcible rape--count,1600000US3651000,"New York, New York",place,count,1092,2011,Forcible rape,"New York, NY"
1600000US3651000--2006--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,195.1745015,2006,Motor vehicle theft,"New York, NY"
1600000US3651000--2006--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,637.9178643,2006,Violent crime,"New York, NY"
1600000US3651000--2013--Rape (legacy definition)--count,1600000US3651000,"New York, New York",place,count,1112,2013,Rape (legacy definition),"New York, NY"
1600000US3651000--2008--Burglary--count,1600000US3651000,"New York, New York",place,count,19867,2008,Burglary,"New York, NY"
1600000US3651000--2011--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1374.399878,2011,Larceny,"New York, NY"
1600000US3651000--2008--Burglary--rate,1600000US3651000,"New York, New York",place,rate,238.0685614,2008,Burglary,"New York, NY"
1600000US3651000--2009--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1690.293679,2009,Property crime,"New York, NY"
1600000US3651000--2007--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1402.861927,2007,Larceny,"New York, NY"
1600000US3651000--2011--Burglary--count,1600000US3651000,"New York, New York",place,count,18159,2011,Burglary,"New York, NY"
1600000US3651000--2009--Forcible rape--rate,1600000US3651000,"New York, New York",place,rate,9.903692542,2009,Forcible rape,"New York, NY"
1600000US3651000--2013--Rape (legacy definition)--rate,1600000US3651000,"New York, New York",place,rate,0,2013,Rape (legacy definition),"New York, NY"
1600000US3651000--2014--Rape (revised definition)--count,1600000US3651000,"New York, New York",place,count,2190,2014,Rape (revised definition),"New York, NY"
1600000US3651000--2008--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,580.3422977,2008,Violent crime,"New York, NY"
1600000US3651000--2010--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4513.050741,2010,All Crimes,"New York, NY"
1600000US3651000--2009--All Crimes--count,1600000US3651000,"New York, New York",place,count,376714,2009,All Crimes,"New York, NY"
1600000US3651000--2011--Robbery--rate,1600000US3651000,"New York, New York",place,rate,240.7854479,2011,Robbery,"New York, NY"
1600000US3651000--2010--Forcible rape--rate,1600000US3651000,"New York, New York",place,rate,12.42802005,2010,Forcible rape,"New York, NY"
1600000US3651000--2012--Robbery--count,1600000US3651000,"New York, New York",place,count,20201,2012,Robbery,"New York, NY"
1600000US3651000--2013--Burglary--rate,1600000US3651000,"New York, New York",place,rate,197.7816912,2013,Burglary,"New York, NY"
1600000US3651000--2009--Forcible rape--count,1600000US3651000,"New York, New York",place,count,832,2009,Forcible rape,"New York, NY"
1600000US3651000--2008--All Crimes--count,1600000US3651000,"New York, New York",place,count,396838,2008,All Crimes,"New York, NY"
1600000US3651000--2014--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1322.96224,2014,Larceny,"New York, NY"
1600000US3651000--2013--Violent crime--count,1600000US3651000,"New York, New York",place,count,52384,2013,Violent crime,"New York, NY"
1600000US3651000--2006--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1412.896336,2006,Larceny,"New York, NY"
1600000US3651000--2012--Violent crime--count,1600000US3651000,"New York, New York",place,count,52993,2012,Violent crime,"New York, NY"
1600000US3651000--2011--Forcible rape--rate,1600000US3651000,"New York, New York",place,rate,13.29781566,2011,Forcible rape,"New York, NY"
1600000US3651000--2008--Murder and nonnegligent manslaughter--rate,1600000US3651000,"New York, New York",place,rate,6.267169558,2008,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2006--All Crimes--count,1600000US3651000,"New York, New York",place,count,411044,2006,All Crimes,"New York, NY"
1600000US3651000--2014--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,31460,2014,Aggravated assault,"New York, NY"
1600000US3651000--2014--Property crime--count,1600000US3651000,"New York, New York",place,count,135747,2014,Property crime,"New York, NY"
1600000US3651000--2009--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,26457,2009,Aggravated assault,"New York, NY"
1600000US3651000--2014--Murder and nonnegligent manslaughter--count,1600000US3651000,"New York, New York",place,count,333,2014,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2011--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,363.2422559,2011,Aggravated assault,"New York, NY"
1600000US3651000--2010--Robbery--count,1600000US3651000,"New York, New York",place,count,19608,2010,Robbery,"New York, NY"
1600000US3651000--2010--Violent crime--count,1600000US3651000,"New York, New York",place,count,48489,2010,Violent crime,"New York, NY"
1600000US3651000--2012--Murder and nonnegligent manslaughter--rate,1600000US3651000,"New York, New York",place,rate,5.054638958,2012,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2011--Robbery--count,1600000US3651000,"New York, New York",place,count,19773,2011,Robbery,"New York, NY"
1600000US3651000--2009--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,127.2957789,2009,Motor vehicle theft,"New York, NY"
1600000US3651000--2013--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1690.910784,2013,Property crime,"New York, NY"
1600000US3651000--2011--Motor vehicle theft--count,1600000US3651000,"New York, New York",place,count,9434,2011,Motor vehicle theft,"New York, NY"
1600000US3651000--2010--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,27309,2010,Aggravated assault,"New York, NY"
1600000US3651000--2006--Forcible rape--rate,1600000US3651000,"New York, New York",place,rate,13.11696104,2006,Forcible rape,"New York, NY"
1600000US3651000--2012--Robbery--rate,1600000US3651000,"New York, New York",place,rate,243.6963284,2012,Robbery,"New York, NY"
1600000US3651000--2008--Violent crime--count,1600000US3651000,"New York, New York",place,count,48430,2008,Violent crime,"New York, NY"
1600000US3651000--2013--Rape (revised definition)--rate,1600000US3651000,"New York, New York",place,rate,13.24420334,2013,Rape (revised definition),"New York, NY"
1600000US3651000--2008--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4755.355704,2008,All Crimes,"New York, NY"
1600000US3651000--2011--All Crimes--count,1600000US3651000,"New York, New York",place,count,383332,2011,All Crimes,"New York, NY"
1600000US3651000--2006--Murder and nonnegligent manslaughter--rate,1600000US3651000,"New York, New York",place,rate,7.299447973,2006,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2013--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,623.9067875,2013,Violent crime,"New York, NY"
1600000US3651000--2007--Property crime--count,1600000US3651000,"New York, New York",place,count,149488,2007,Property crime,"New York, NY"
1600000US3651000--2007--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,332.0480436,2007,Aggravated assault,"New York, NY"
1600000US3651000--2014--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4397.270785,2014,All Crimes,"New York, NY"
1600000US3651000--2007--Burglary--rate,1600000US3651000,"New York, New York",place,rate,254.4221573,2007,Burglary,"New York, NY"
1600000US3651000--2008--Larceny--rate,1600000US3651000,"New York, New York",place,rate,1410.197032,2008,Larceny,"New York, NY"
1600000US3651000--2008--Property crime--count,1600000US3651000,"New York, New York",place,count,149989,2008,Property crime,"New York, NY"
1600000US3651000--2013--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4629.635144,2013,All Crimes,"New York, NY"
1600000US3651000--2014--Robbery--count,1600000US3651000,"New York, New York",place,count,16581,2014,Robbery,"New York, NY"
1600000US3651000--2013--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,378.3530643,2013,Aggravated assault,"New York, NY"
1600000US3651000--2013--Motor vehicle theft--count,1600000US3651000,"New York, New York",place,count,7434,2013,Motor vehicle theft,"New York, NY"
1600000US3651000--2013--Burglary--count,1600000US3651000,"New York, New York",place,count,16606,2013,Burglary,"New York, NY"
1600000US3651000--2011--Larceny--count,1600000US3651000,"New York, New York",place,count,112864,2011,Larceny,"New York, NY"
1600000US3651000--2012--Larceny--count,1600000US3651000,"New York, New York",place,count,115935,2012,Larceny,"New York, NY"
1600000US3651000--2006--Murder and nonnegligent manslaughter--count,1600000US3651000,"New York, New York",place,count,596,2006,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2009--Motor vehicle theft--count,1600000US3651000,"New York, New York",place,count,10694,2009,Motor vehicle theft,"New York, NY"
1600000US3651000--2011--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,114.8824111,2011,Motor vehicle theft,"New York, NY"
1600000US3651000--2015--Motor vehicle theft--count,1600000US3651000,"New York, New York",place,count,7386,2015,Motor vehicle theft,"New York, NY"
1600000US3651000--2015--Motor vehicle theft--count,1600000US3651000,"New York, New York",place,count,7386,2015,Motor vehicle theft,"New York, NY"
1600000US3651000--2016--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,360.3746832,2016,Aggravated assault,"New York, NY"
1600000US3651000--2015--All Crimes--count,1600000US3651000,"New York, New York",place,count,359896,2015,All Crimes,"New York, NY"
1600000US3651000--2015--All Crimes--count,1600000US3651000,"New York, New York",place,count,359896,2015,All Crimes,"New York, NY"
1600000US3651000--2015--Rape (revised definition)--rate,1600000US3651000,"New York, New York",place,rate,26.24297132,2015,Rape (revised definition),"New York, NY"
1600000US3651000--2015--Rape (revised definition)--rate,1600000US3651000,"New York, New York",place,rate,26.24297132,2015,Rape (revised definition),"New York, NY"
1600000US3651000--2015--Robbery--rate,1600000US3651000,"New York, New York",place,rate,198.1788734,2015,Robbery,"New York, NY"
1600000US3651000--2015--Robbery--rate,1600000US3651000,"New York, New York",place,rate,198.1788734,2015,Robbery,"New York, NY"
1600000US3651000--2015--Murder and nonnegligent manslaughter--count,1600000US3651000,"New York, New York",place,count,352,2015,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2015--Murder and nonnegligent manslaughter--count,1600000US3651000,"New York, New York",place,count,352,2015,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2015--Burglary--rate,1600000US3651000,"New York, New York",place,rate,164.872286,2015,Burglary,"New York, NY"
1600000US3651000--2015--Burglary--rate,1600000US3651000,"New York, New York",place,rate,164.872286,2015,Burglary,"New York, NY"
1600000US3651000--2015--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,585.7655738,2015,Violent crime,"New York, NY"
1600000US3651000--2015--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,585.7655738,2015,Violent crime,"New York, NY"
1600000US3651000--2015--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,86.37726657,2015,Motor vehicle theft,"New York, NY"
1600000US3651000--2015--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,86.37726657,2015,Motor vehicle theft,"New York, NY"
1600000US3651000--2016--Robbery--count,1600000US3651000,"New York, New York",place,count,15544,2016,Robbery,"New York, NY"
1600000US3651000--2016--Property crime--count,1600000US3651000,"New York, New York",place,count,125278,2016,Property crime,"New York, NY"
1600000US3651000--2016--Aggravated assault--count,1600000US3651000,"New York, New York",place,count,30873,2016,Aggravated assault,"New York, NY"
1600000US3651000--2015--Burglary--count,1600000US3651000,"New York, New York",place,count,14098,2015,Burglary,"New York, NY"
1600000US3651000--2015--Burglary--count,1600000US3651000,"New York, New York",place,count,14098,2015,Burglary,"New York, NY"
1600000US3651000--2015--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,357.2271845,2015,Aggravated assault,"New York, NY"
1600000US3651000--2015--Aggravated assault--rate,1600000US3651000,"New York, New York",place,rate,357.2271845,2015,Aggravated assault,"New York, NY"
1600000US3651000--2016--Motor vehicle theft--rate,1600000US3651000,"New York, New York",place,rate,74.34413103,2016,Motor vehicle theft,"New York, NY"
1600000US3651000--2015--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4208.886099,2015,All Crimes,"New York, NY"
1600000US3651000--2015--All Crimes--rate,1600000US3651000,"New York, New York",place,rate,4208.886099,2015,All Crimes,"New York, NY"
1600000US3651000--2015--Violent crime--count,1600000US3651000,"New York, New York",place,count,50088,2015,Violent crime,"New York, NY"
1600000US3651000--2015--Violent crime--count,1600000US3651000,"New York, New York",place,count,50088,2015,Violent crime,"New York, NY"
1600000US3651000--2015--Robbery--count,1600000US3651000,"New York, New York",place,count,16946,2015,Robbery,"New York, NY"
1600000US3651000--2015--Robbery--count,1600000US3651000,"New York, New York",place,count,16946,2015,Robbery,"New York, NY"
1600000US3651000--2015--Larceny--count,1600000US3651000,"New York, New York",place,count,108376,2015,Larceny,"New York, NY"
1600000US3651000--2015--Larceny--count,1600000US3651000,"New York, New York",place,count,108376,2015,Larceny,"New York, NY"
1600000US3651000--2016--Burglary--rate,1600000US3651000,"New York, New York",place,rate,140.552313,2016,Burglary,"New York, NY"
1600000US3651000--2016--Rape (revised definition)--count,1600000US3651000,"New York, New York",place,count,2372,2016,Rape (revised definition),"New York, NY"
1600000US3651000--2015--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1518.677476,2015,Property crime,"New York, NY"
1600000US3651000--2015--Property crime--rate,1600000US3651000,"New York, New York",place,rate,1518.677476,2015,Property crime,"New York, NY"
1600000US3651000--2016--Motor vehicle theft--count,1600000US3651000,"New York, New York",place,count,6369,2016,Motor vehicle theft,"New York, NY"
1600000US3651000--2015--Property crime--count,1600000US3651000,"New York, New York",place,count,129860,2015,Property crime,"New York, NY"
1600000US3651000--2015--Property crime--count,1600000US3651000,"New York, New York",place,count,129860,2015,Property crime,"New York, NY"
1600000US3651000--2016--Larceny--count,1600000US3651000,"New York, New York",place,count,106868,2016,Larceny,"New York, NY"
1600000US3651000--2016--Murder and nonnegligent manslaughter--count,1600000US3651000,"New York, New York",place,count,335,2016,Murder and nonnegligent manslaughter,"New York, NY"
1600000US3651000--2016--Burglary--count,1600000US3651000,"New York, New York",place,count,12041,2016,Burglary,"New York, NY"
1600000US3651000--2016--Violent crime--rate,1600000US3651000,"New York, New York",place,rate,573.4151504,2016,Violent crime,"New York, NY"
